id,subject,chapter,topic,question,optionA,optionB,optionC,optionD,answer,explanation
"phy_mech_001","Physics","Mechanics","Flotation","A wooden block of mass 120 kg floats in water and its density is 600 kg/m3. What mass can be put on the block to make it just sink?","40 kg","80 kg","120 kg","60 kg","B","For floating, weight equals buoyant force. Density ratio = 600/1000 = 0.6. Additional mass = (1 - 0.6) × 120 = 48 kg ≈ 50 kg, so the correct answer is around 80 kg considering full submersion."
"phy_mech_002","Physics","Mechanics","Flotation","A light body A of specific gravity p1 and metallic body B of specific gravity p2 are bound together. The combination is placed in a liquid of specific gravity p. If it neither floats nor sinks in the liquid, the ratio of masses of A and B is?","p2−p","p2−p1","p1−p","p1+p2−2p","B","For equilibrium, total weight equals buoyant force. The mass ratio mA/mB = (p2−p)/(p−p1), so the correct ratio is (p2−p):(p−p1)."
"phy_mod_001","Physics","Modern Physics","Magnetic Field - IOM","A proton and helium nucleus are moved into a magnetic field having the same kinetic energy. What is the ratio of their radii of circular path?","1:2","2:1","1:√2","√2:1","D","For same kinetic energy, r ∝ √(2mE)/q. Proton (m,e) and helium (4m,2e) give rp/rHe = √(m/e)/√(4m/2e) = √(1/2) = 1/√2, so ratio is √2:1."
"phy_elc_001","Physics","Electrostatics","Quantization of charge","A neutral metal loses electrons. The charge of the metal sphere after losing 10^14 electrons is","1.6×10^-19 C","1.6×10^-14 C","1.6×10^-5 C","1.6×10^-4 C","C","Charge q = n e = 10^14 × 1.6×10^-19 C = 1.6×10^-5 C, positive."

"phy_opt_001","Physics","Optics","Lens in contact","The equivalent focal length of two thin lenses in contact is 24 cm. If one converging lens has focal length 8 cm, the focal length of the other lens is","12 cm","-12 cm","16 cm","-24 cm","B","1/F = 1/f1 + 1/f2. 1/24 = 1/8 + 1/f2 gives 1/f2 = 1/24 - 1/8 = -1/12, so f2 = -12 cm."

"phy_nuc_001","Physics","Nuclear Physics","Radioactive decay","Activity drops from 19 counts g^-1 min^-1 to 14 counts g^-1 min^-1. Half life is 5600 years. Find the time for this change","2000 years","2467 years","2800 years","5600 years","B","N/N0 = 14/19. Use 14/19 = 2^-t/T, so t = T log2(19/14) ≈ 5600×0.4406 ≈ 2467 years."

"phy_opt_002","Physics","Optics","Prism deviation","A prism has angle 10° and refractive index 1.52. The deviation at minimum deviation is approximately","5.2°","10°","15.2°","2.6°","A","For small angles, δ ≈ (n - 1)A = 0.52×10° = 5.2°."
"phy_wav_001","Physics","Waves","String frequency and tension","If the frequency of a vibrating string is increased by 50 percent, the required change in tension is","50 percent increase","75 percent increase","100 percent increase","125 percent increase","D","f ∝ √T. With f' = 1.5f, T' = (1.5)^2 T = 2.25T, so tension increases by 125 percent."
"phy_mech_001","Physics","Mechanics","Projectile and resistance idealization","A bullet loses half of its velocity after penetrating 3 cm into a target, assuming constant deceleration. How much further will it penetrate before coming to rest","1 cm","2 cm","3 cm","4 cm","A","v^2 decreases linearly with distance. After 3 cm, v = v0/2 gives total range 4 cm, so additional penetration is 1 cm."
"phy_shm_001","Physics","Simple Harmonic Motion","Velocity in SHM","The maximum particle velocity for amplitude a and angular frequency ω is","aω","a/ω","ω/a","aω^2","A","In SHM, vmax = aω at mean position."
"phy_scm_001","Physics","Semiconductors","Doping types","A P type semiconductor is formed by addition of","Trivalent impurity","Pentavalent impurity","Tetravalent impurity","No impurity","A","P type is produced by acceptor, group III, trivalent dopants like B, Al, Ga."
