"id","subject","chapter","topic","question","optionA","optionB","optionC","optionD","answer","explanation"
"ZOO-EVB-EVO-001","Zoology","Evolutionary Biology","Origin of life","The scientific study of origin of life is called","Biogenesis","Cosmology","Abiogenesis","Ontogeny","C","Abiogenesis deals with the origin of life from non-living matter."
"ZOO-EVB-EVO-002","Zoology","Evolutionary Biology","Origin of life","According to the modern view, life first originated in","Air","Water","Soil","Rocks","B","Life is believed to have originated in primitive oceans."
"ZOO-EVB-EVO-003","Zoology","Evolutionary Biology","Origin of life","The primitive atmosphere of Earth was mainly","Oxidizing","Reducing","Neutral","Ozone-rich","B","Primitive atmosphere lacked free oxygen and was reducing."
"ZOO-EVB-EVO-004","Zoology","Evolutionary Biology","Origin of life","Which gas was absent in the primitive atmosphere?","Methane","Ammonia","Free oxygen","Hydrogen","C","Free oxygen was absent in early Earth atmosphere."
"ZOO-EVB-EVO-005","Zoology","Evolutionary Biology","Origin of life","The approximate age of Earth is","1.5 billion years","2.5 billion years","4.6 billion years","10 billion years","C","Earth formed about 4.6 billion years ago."
"ZOO-EVB-EVO-006","Zoology","Evolutionary Biology","Origin of life","The first living organisms were most probably","Aerobic autotrophs","Anaerobic heterotrophs","Aerobic heterotrophs","Photosynthetic plants","B","First organisms used organic molecules without oxygen."
"ZOO-EVB-EVO-007","Zoology","Evolutionary Biology","Origin of life","The first cells were most likely","Eukaryotic and aerobic","Prokaryotic and anaerobic","Multicellular and aquatic","Photosynthetic and terrestrial","B","First cells were simple prokaryotes living without oxygen."
"ZOO-EVB-EVO-008","Zoology","Evolutionary Biology","Origin of life","The term primordial soup refers to","Mixture of gases in air","Organic molecules in primitive ocean","Molten rocks of early Earth","First fossil layer","B","Primordial soup means organic compounds accumulated in primitive oceans."
"ZOO-EVB-EVO-009","Zoology","Evolutionary Biology","Origin of life","Which energy source helped in chemical evolution?","Lightning","Sunlight","Volcanic heat","All listed energy sources","D","Lightning, UV radiation and volcanic heat supplied energy for synthesis."
"ZOO-EVB-EVO-010","Zoology","Evolutionary Biology","Origin of life","The sequence of origin of life is best represented as","Cells → molecules → organs → organisms","Inorganic molecules → organic molecules → protocells → cells","Organic molecules → atoms → tissues → cells","Protocells → inorganic molecules → proteins → cells","B","Chemical evolution progressed from simple inorganic substances to cells."
"ZOO-EVB-EVO-011","Zoology","Evolutionary Biology","Origin of life","Which molecule is considered a likely early genetic material?","Cellulose","RNA","Starch","Chitin","B","RNA can store information and catalyze reactions."
"ZOO-EVB-EVO-012","Zoology","Evolutionary Biology","Origin of life","The RNA world hypothesis suggests that early life used RNA for","Only respiration","Only protection","Information storage and catalysis","Only locomotion","C","RNA can act as genetic material and enzyme-like catalyst."
"ZOO-EVB-EVO-013","Zoology","Evolutionary Biology","Origin of life","Coacervates are","Fossilized bacteria","Protein-polysaccharide droplets","Modern viruses","First plants","B","Coacervates are colloidal organic droplets formed in water."
"ZOO-EVB-EVO-014","Zoology","Evolutionary Biology","Origin of life","Which structure is considered a possible precursor of cells?","Coacervate","Neuron","Chloroplast","Bone","A","Coacervates show cell-like aggregation of organic molecules."
"ZOO-EVB-EVO-015","Zoology","Evolutionary Biology","Origin of life","Biogenesis states that life arises from","Non-living matter","Pre-existing life","Cosmic rays","Crystals only","B","Biogenesis means life comes from pre-existing life."
"ZOO-EVB-EVO-016","Zoology","Evolutionary Biology","Origin of life","The theory of spontaneous generation proposed that","Life comes only from life","Life can arise suddenly from non-living matter","Species never change","Humans evolved from apes directly","B","Spontaneous generation assumed life arises from non-living matter."
"ZOO-EVB-EVO-017","Zoology","Evolutionary Biology","Origin of life","Which scientist disproved spontaneous generation using swan-neck flask experiment?","Pasteur","Darwin","Mendel","Lamarck","A","Louis Pasteur disproved spontaneous generation experimentally."
"ZOO-EVB-EVO-018","Zoology","Evolutionary Biology","Origin of life","The first autotrophs were probably","Chemosynthetic bacteria","Flowering plants","Fungi","Protozoans","A","Chemosynthetic bacteria likely evolved before photosynthetic organisms."
"ZOO-EVB-EVO-019","Zoology","Evolutionary Biology","Origin of life","The appearance of photosynthesis led to accumulation of","Methane","Ammonia","Oxygen","Hydrogen sulfide","C","Photosynthesis released oxygen into atmosphere."
"ZOO-EVB-EVO-020","Zoology","Evolutionary Biology","Origin of life","The ozone layer formed after accumulation of","Carbon dioxide","Nitrogen","Oxygen","Methane","C","Ozone formed from atmospheric oxygen."
"ZOO-EVB-EVO-021","Zoology","Evolutionary Biology","Oparin-Haldane theory","Oparin-Haldane theory is also known as","Theory of natural selection","Chemical evolution theory","Mutation theory","Germplasm theory","B","It explains origin of life through chemical evolution."
"ZOO-EVB-EVO-022","Zoology","Evolutionary Biology","Oparin-Haldane theory","Oparin was a scientist from","England","Russia","America","France","B","A. I. Oparin was a Russian biochemist."
"ZOO-EVB-EVO-023","Zoology","Evolutionary Biology","Oparin-Haldane theory","J. B. S. Haldane proposed that primitive oceans contained","Hot dilute soup","Pure water only","Free oxygen only","Living cells only","A","Haldane described primitive ocean as hot dilute soup of organics."
"ZOO-EVB-EVO-024","Zoology","Evolutionary Biology","Oparin-Haldane theory","According to Oparin-Haldane theory, organic molecules formed from","Complex animals","Inorganic substances","Modern plants","Fossils","B","Simple inorganic substances reacted to form organic molecules."
